,Title,Awards,Wins,Nominations,Golden Globes Won,Golden Globes Nominated,Oscars Nominated,Oscars Won,Bafta Nominated,Bafta Won,PrimeTime Won,PrimeTime Nominated
924,Cape Cod,1 win.,['1'],[],[],[],[],[],[],[],[],[]
934,Avenzio - Schöner leben!,1 nomination.,[],['1'],[],[],[],[],[],[],[],[]
947,The Shining in 30 Seconds (and Re-enacted by Bunnies),1 win.,['1'],[],[],[],[],[],[],[],[],[]
983,Gold,1 nomination.,[],['1'],[],[],[],[],[],[],[],[]
990,24 oras,4 nominations.,[],['4'],[],[],[],[],[],[],[],[]
992,The Brother,1 nomination.,[],['1'],[],[],[],[],[],[],[],[]
1000,Love Is in the Air,1 nomination.,[],['1'],[],[],[],[],[],[],[],[]
1027,Alles muss raus,1 nomination.,[],['1'],[],[],[],[],[],[],[],[]
1030,About Us,2 wins & 2 nominations.,['2'],['2'],[],[],[],[],[],[],[],[]
1040,About Us,1 win.,['1'],[],[],[],[],[],[],[],[],[]
1071,Who Kidnapped Shergar,1 nomination.,[],['1'],[],[],[],[],[],[],[],[]
1115,Agatha Christie's Marple,2 wins & 1 nomination.,['2'],['1'],[],[],[],[],[],[],[],[]
1180,Missy Elliott: Pass That Dutch,1 win.,['1'],[],[],[],[],[],[],[],[],[]
1201,Star Wars: Episode III - Revenge of the Sith,Nominated for 1 Oscar. Another 25 wins & 51 nominations.,['25'],['51'],[],[],['1'],[],[],[],[],[]
1202,Bob the Butler,1 nomination.,[],['1'],[],[],[],[],[],[],[],[]
1204,Até Amanhã; Camaradas,8 wins & 20 nominations.,['8'],['20'],[],[],[],[],[],[],[],[]
1205,Cursed,2 nominations.,[],['2'],[],[],[],[],[],[],[],[]
1207,Hostage,4 nominations.,[],['4'],[],[],[],[],[],[],[],[]
1208,The Upside of Anger,5 wins & 12 nominations.,['5'],['12'],[],[],[],[],[],[],[],[]
1209,Echoes of Innocence,3 wins.,['3'],[],[],[],[],[],[],[],[],[]
1212,Goal! The Dream Begins,1 win & 6 nominations.,['1'],['6'],[],[],[],[],[],[],[],[]
1213,Accused,7 wins & 5 nominations.,['7'],['5'],[],[],[],[],[],[],[],[]
1214,Waqt: The Race Against Time,4 nominations.,[],['4'],[],[],[],[],[],[],[],[]
1217,The Ice Harvest,2 nominations.,[],['2'],[],[],[],[],[],[],[],[]
1219,Underworld: Evolution,2 wins & 6 nominations.,['2'],['6'],[],[],[],[],[],[],[],[]
1220,The Sisterhood of the Traveling Pants,1 win & 14 nominations.,['1'],['14'],[],[],[],[],[],[],[],[]
1221,War of the Worlds,Nominated for 3 Oscars. Another 13 wins & 40 nominations.,['13'],['40'],[],[],['3'],[],[],[],[],[]
1230,Blind Man's Bluff,1 win & 2 nominations.,['1'],['2'],[],[],[],[],[],[],[],[]
1231,A Place of Our Own: Los Niños en Su Casa,1 win & 1 nomination.,['1'],['1'],[],[],[],[],[],[],[],[]
1233,Miami Vice,1 win & 9 nominations.,['1'],['9'],[],[],[],[],[],[],[],[]
1234,Basic Instinct 2,8 wins & 6 nominations.,['8'],['6'],[],[],[],[],[],[],[],[]
1235,Kidnapped,1 nomination.,[],['1'],[],[],[],[],[],[],[],[]
1238,The Descent,8 wins & 17 nominations.,['8'],['17'],[],[],[],[],[],[],[],[]
1239,Afterlife,4 wins & 1 nomination.,['4'],['1'],[],[],[],[],[],[],[],[]
1240,Mardi Gras: Made in China,1 win & 1 nomination.,['1'],['1'],[],[],[],[],[],[],[],[]
1241,30 Days,4 wins & 4 nominations.,['4'],['4'],[],[],[],[],[],[],[],[]
1242,The Real Dirt on Farmer John,5 wins.,['5'],[],[],[],[],[],[],[],[],[]
1243,Aída,27 wins & 31 nominations.,['27'],['31'],[],[],[],[],[],[],[],[]
1244,Man Exposed,2 wins & 1 nomination.,['2'],['1'],[],[],[],[],[],[],[],[]
1245,Solo,1 nomination.,[],['1'],[],[],[],[],[],[],[],[]
1246,Encantadia,3 wins.,['3'],[],[],[],[],[],[],[],[],[]
1257,Help,4 wins.,['4'],[],[],[],[],[],[],[],[],[]
1261,Ot 180 i vyshe,4 nominations.,[],['4'],[],[],[],[],[],[],[],[]
1266,Babs Johnson and the Cavalcade of Perversion: An Exploration in Exploitation,5 wins.,['5'],[],[],[],[],[],[],[],[],[]
1267,The Break-Up,2 wins & 5 nominations.,['2'],['5'],[],[],[],[],[],[],[],[]
1268,Before the Flood,3 wins.,['3'],[],[],[],[],[],[],[],[],[]
1269,Black Christmas,1 nomination.,[],['1'],[],[],[],[],[],[],[],[]
1272,Lost and Found,1 win & 1 nomination.,['1'],['1'],[],[],[],[],[],[],[],[]
1274,The Pursuit of Happyness,Nominated for 1 Oscar. Another 11 wins & 24 nominations.,['11'],['24'],[],[],['1'],[],[],[],[],[]
1275,Exit,1 win.,['1'],[],[],[],[],[],[],[],[],[]
1279,Abuela de verano,3 nominations.,[],['3'],[],[],[],[],[],[],[],[]
1299,10.5: Apocalypse,1 nomination.,[],['1'],[],[],[],[],[],[],[],[]
1300,The Cutting Edge: Going for the Gold,1 nomination.,[],['1'],[],[],[],[],[],[],[],[]
1301,A Lua Me Disse,21 nominations.,[],['21'],[],[],[],[],[],[],[],[]
1304,8 Out of 10 Cats,4 nominations.,[],['4'],[],[],[],[],[],[],[],[]
1305,A Picture of Britain,1 win & 2 nominations.,['1'],['2'],[],[],[],[],[],[],[],[]
1316,The Book of Daniel,1 win.,['1'],[],[],[],[],[],[],[],[],[]
1324,A Guide to Recognizing Your Saints,7 wins & 9 nominations.,['7'],['9'],[],[],[],[],[],[],[],[]
1327,One of Those Days,1 win.,['1'],[],[],[],[],[],[],[],[],[]
1330,Alma Gêmea,3 wins & 32 nominations.,['3'],['32'],[],[],[],[],[],[],[],[]
1332,Internal Turmoil of the Plastic Kind,1 win.,['1'],[],[],[],[],[],[],[],[],[]
1337,War,2 wins & 1 nomination.,['2'],['1'],[],[],[],[],[],[],[],[]
1339,Above and Beyond,4 wins & 6 nominations.,['4'],['6'],[],[],[],[],[],[],[],[]
1342,The 8th Plague,2 wins.,['2'],[],[],[],[],[],[],[],[],[]
1351,The Pretender,4 nominations.,[],['4'],[],[],[],[],[],[],[],[]
1354,Letting Go,1 win.,['1'],[],[],[],[],[],[],[],[],[]
1356,Life After Tomorrow,2 wins.,['2'],[],[],[],[],[],[],[],[],[]
1358,Alice; I Think,2 nominations.,[],['2'],[],[],[],[],[],[],[],[]
1360,Don't Worry; I'm Fine,7 wins & 7 nominations.,['7'],['7'],[],[],[],[],[],[],[],[]
1364,2005 World Figure Skating Championships,2 wins & 1 nomination.,['2'],['1'],[],[],[],[],[],[],[],[]
1366,Allein gegen die Angst,2 nominations.,[],['2'],[],[],[],[],[],[],[],[]
