,season,match_id,inning,batting_team,batsman,batsman_runs,balls_faced,Strike-Rate,More-Than-30,More-Than-50,More-Than-100
0,2008,1,1,Kolkata Knight Riders,BB McCullum,158,73.0,216.44,1,1,1
1,2008,1,1,Kolkata Knight Riders,DJ Hussey,12,12.0,100.0,0,0,0
2,2008,1,1,Kolkata Knight Riders,Mohammad Hafeez,5,3.0,166.67,0,0,0
3,2008,1,1,Kolkata Knight Riders,RT Ponting,20,20.0,100.0,0,0,0
4,2008,1,1,Kolkata Knight Riders,SC Ganguly,10,12.0,83.33,0,0,0
5,2008,1,2,Royal Challengers Bangalore,AA Noffke,9,10.0,90.0,0,0,0
6,2008,1,2,Royal Challengers Bangalore,B Akhil,0,2.0,0.0,0,0,0
7,2008,1,2,Royal Challengers Bangalore,CL White,6,10.0,60.0,0,0,0
8,2008,1,2,Royal Challengers Bangalore,JH Kallis,8,7.0,114.29,0,0,0
9,2008,1,2,Royal Challengers Bangalore,MV Boucher,7,9.0,77.78,0,0,0
10,2008,1,2,Royal Challengers Bangalore,P Kumar,18,15.0,120.0,0,0,0
11,2008,1,2,Royal Challengers Bangalore,R Dravid,2,3.0,66.67,0,0,0
12,2008,1,2,Royal Challengers Bangalore,SB Joshi,3,6.0,50.0,0,0,0
13,2008,1,2,Royal Challengers Bangalore,V Kohli,1,5.0,20.0,0,0,0
14,2008,1,2,Royal Challengers Bangalore,W Jaffer,6,16.0,37.5,0,0,0
15,2008,1,2,Royal Challengers Bangalore,Z Khan,3,8.0,37.5,0,0,0
16,2008,2,1,Chennai Super Kings,JDP Oram,13,10.0,130.0,0,0,0
17,2008,2,1,Chennai Super Kings,MEK Hussey,116,54.0,214.81,1,1,1
18,2008,2,1,Chennai Super Kings,ML Hayden,25,17.0,147.06,0,0,0
19,2008,2,1,Chennai Super Kings,MS Dhoni,2,3.0,66.67,0,0,0
20,2008,2,1,Chennai Super Kings,PA Patel,15,10.0,150.0,0,0,0
21,2008,2,1,Chennai Super Kings,S Badrinath,31,14.0,221.43,1,0,0
22,2008,2,1,Chennai Super Kings,SK Raina,32,13.0,246.15,1,0,0
23,2008,2,2,Kings XI Punjab,IK Pathan,3,5.0,60.0,0,0,0
